FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1299,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,930,928,0,0,14,942,1145,5,1159,1150,-9,0,0,0,149,142,919,,,,,
1/1/2015,AA,1387,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,IAD,"Washington, DC",VA,840,837,0,0,16,853,1203,3,1215,1206,-9,0,0,0,155,149,1172,,,,,
1/1/2015,AA,1387,IAD,"Washington, DC",38.944533,-77.455811,VA,DFW,"Dallas/Fort Worth, TX",TX,1300,1259,0,0,14,1313,1513,9,1520,1522,2,2,0,0,200,203,1172,,,,,
1/1/2015,AA,1404,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,1500,1457,0,0,8,1505,1716,12,1730,1728,-2,0,0,0,210,211,1192,,,,,
1/1/2015,AA,1418,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,IAD,"Washington, DC",VA,1155,,,,,,,,1535,,,,1,0,160,,1172,,,,,
1/1/2015,AA,1418,IAD,"Washington, DC",38.944533,-77.455811,VA,DFW,"Dallas/Fort Worth, TX",TX,1615,1614,0,0,18,1632,1848,11,1845,1859,14,14,0,0,210,225,1172,,,,,
1/1/2015,AA,1425,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,IAD,"Washington, DC",VA,1510,1539,29,1,11,1550,1902,7,1850,1909,19,19,0,0,160,150,1172,19,0,0,0,0
1/1/2015,AA,1425,IAD,"Washington, DC",38.944533,-77.455811,VA,DFW,"Dallas/Fort Worth, TX",TX,1930,1945,15,1,26,2011,2227,8,2205,2235,30,30,0,0,215,230,1172,0,0,15,0,15
1/1/2015,AA,1486,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,1835,1921,46,1,18,1939,2138,4,2110,2142,32,32,0,0,155,141,919,26,0,0,0,6
1/1/2015,AA,1562,RIC,"Richmond, VA",37.505167,-77.319667,VA,DFW,"Dallas/Fort Worth, TX",TX,640,636,0,0,17,653,901,12,920,913,-7,0,0,0,220,217,1158,,,,,
1/1/2015,AA,1081,IAD,"Washington, DC",38.944533,-77.455811,VA,LAX,"Los Angeles, CA",CA,800,759,0,0,13,812,1044,8,1050,1052,2,2,0,0,350,353,2288,,,,,
1/1/2015,AA,1155,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,840,839,0,0,13,852,1109,8,1133,1117,-16,0,0,0,173,158,919,,,,,
1/1/2015,AA,1173,IAD,"Washington, DC",38.944533,-77.455811,VA,MIA,"Miami, FL",FL,720,714,0,0,13,727,943,24,1006,1007,1,1,0,0,166,173,921,,,,,
1/1/2015,AA,1553,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,659,653,0,0,11,704,913,11,944,924,-20,0,0,0,165,151,919,,,,,
1/1/2015,AA,1581,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,1100,1055,0,0,8,1103,1304,15,1330,1319,-11,0,0,0,210,204,1192,,,,,
1/1/2015,AA,1581,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,615,,,,,,,,959,,,,1,0,164,,1192,,,,,
1/1/2015,AA,1658,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,1440,1435,0,0,18,1453,1659,19,1724,1718,-6,0,0,0,164,163,919,,,,,
1/1/2015,AA,1658,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,1115,1110,0,0,12,1122,1341,4,1347,1345,-2,0,0,0,152,155,919,,,,,
1/1/2015,AA,1688,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,1230,1228,0,0,7,1235,1438,15,1455,1453,-2,0,0,0,205,205,1192,,,,,
1/1/2015,AA,1688,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,750,757,7,0,13,810,1116,3,1130,1119,-11,0,0,0,160,142,1192,,,,,
1/1/2015,AA,2206,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,1959,1955,0,0,12,2007,2217,5,2240,2222,-18,0,0,0,161,147,919,,,,,
1/1/2015,AA,2206,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,1635,1633,0,0,16,1649,1858,5,1907,1903,-4,0,0,0,152,150,919,,,,,
1/1/2015,AA,2255,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,RIC,"Richmond, VA",VA,800,757,0,0,18,815,1123,5,1140,1128,-12,0,0,0,160,151,1158,,,,,
1/1/2015,AA,2255,RIC,"Richmond, VA",37.505167,-77.319667,VA,DFW,"Dallas/Fort Worth, TX",TX,1220,1217,0,0,9,1226,1426,16,1445,1442,-3,0,0,0,205,205,1158,,,,,
1/1/2015,AA,1638,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,1950,1949,0,0,12,2001,2208,5,2220,2213,-7,0,0,0,150,144,919,,,,,
1/1/2015,AA,2237,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,1859,1854,0,0,9,1903,2109,10,2129,2119,-10,0,0,0,210,205,1192,,,,,
1/1/2015,AA,2237,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,1430,1425,0,0,12,1437,1744,21,1810,1805,-5,0,0,0,160,160,1192,,,,,
1/1/2015,AA,2239,DCA,"Washington, DC",38.852083,-77.037722,VA,ORD,"Chicago, IL",IL,2050,2041,0,0,10,2051,2134,10,2200,2144,-16,0,0,0,130,123,612,,,,,
1/1/2015,AA,2239,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,1715,1717,2,0,13,1730,1940,5,2000,1945,-15,0,0,0,105,88,612,,,,,
1/1/2015,AA,2284,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,2010,2006,0,0,11,2017,2228,13,2250,2241,-9,0,0,0,100,95,612,,,,,
1/1/2015,AA,2333,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,ORF,"Norfolk, VA",VA,1900,1908,8,0,16,1924,2236,6,2240,2242,2,2,0,0,160,154,1212,,,,,
1/1/2015,AA,2340,DCA,"Washington, DC",38.852083,-77.037722,VA,ORD,"Chicago, IL",IL,1850,1838,0,0,18,1856,1949,9,2005,1958,-7,0,0,0,135,140,612,,,,,
