route,origin,destination,count,count_cancelled,count_diverted,TOTAL_CARRIER_DELAY,TOTAL_ARR_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_NAS_DELAY,TOTAL_SECURITY_DELAY,TOTAL_WEATHER_DELAY,TOTAL_AVG_CARRIER_DELAY,TOTAL_AVG_ARR_DELAY,TOTAL_AVG_LATE_AIRCRAFT_DELAY,TOTAL_AVG_NAS_DELAY,TOTAL_AVG_SECURITY_DELAY,TOTAL_AVG_WEATHER_DELAY,AA_count,AS_count,B6_count,DL_count,EV_count,F9_count,MQ_count,OO_count,UA_count,US_count,VX_count,WN_count,AA_cancelled,AS_cancelled,B6_cancelled,DL_cancelled,EV_cancelled,F9_cancelled,MQ_cancelled,OO_cancelled,UA_cancelled,US_cancelled,VX_cancelled,WN_cancelled,AA_CARRIER_DELAY,AS_CARRIER_DELAY,B6_CARRIER_DELAY,DL_CARRIER_DELAY,EV_CARRIER_DELAY,F9_CARRIER_DELAY,MQ_CARRIER_DELAY,OO_CARRIER_DELAY,UA_CARRIER_DELAY,US_CARRIER_DELAY,VX_CARRIER_DELAY,WN_CARRIER_DELAY,AA_ARR_DELAY,AS_ARR_DELAY,B6_ARR_DELAY,DL_ARR_DELAY,EV_ARR_DELAY,F9_ARR_DELAY,MQ_ARR_DELAY,OO_ARR_DELAY,UA_ARR_DELAY,US_ARR_DELAY,VX_ARR_DELAY,WN_ARR_DELAY,AA_LATE_AIRCRAFT_DELAY,AS_LATE_AIRCRAFT_DELAY,B6_LATE_AIRCRAFT_DELAY,DL_LATE_AIRCRAFT_DELAY,EV_LATE_AIRCRAFT_DELAY,F9_LATE_AIRCRAFT_DELAY,MQ_LATE_AIRCRAFT_DELAY,OO_LATE_AIRCRAFT_DELAY,UA_LATE_AIRCRAFT_DELAY,US_LATE_AIRCRAFT_DELAY,VX_LATE_AIRCRAFT_DELAY,WN_LATE_AIRCRAFT_DELAY,AA_NAS_DELAY,AS_NAS_DELAY,B6_NAS_DELAY,DL_NAS_DELAY,EV_NAS_DELAY,F9_NAS_DELAY,MQ_NAS_DELAY,OO_NAS_DELAY,UA_NAS_DELAY,US_NAS_DELAY,VX_NAS_DELAY,WN_NAS_DELAY,AA_SECURITY_DELAY,AS_SECURITY_DELAY,B6_SECURITY_DELAY,DL_SECURITY_DELAY,EV_SECURITY_DELAY,F9_SECURITY_DELAY,MQ_SECURITY_DELAY,OO_SECURITY_DELAY,UA_SECURITY_DELAY,US_SECURITY_DELAY,VX_SECURITY_DELAY,WN_SECURITY_DELAY,AA_WEATHER_DELAY,AS_WEATHER_DELAY,B6_WEATHER_DELAY,DL_WEATHER_DELAY,EV_WEATHER_DELAY,F9_WEATHER_DELAY,MQ_WEATHER_DELAY,OO_WEATHER_DELAY,UA_WEATHER_DELAY,US_WEATHER_DELAY,VX_WEATHER_DELAY,WN_WEATHER_DELAY
CHO-ORD,CHO,ORD,62,9,0,53,25,25,25,25,0,8.68,34.30188679,55.28,14.6,0,0,,,,,,,,62,,,,,,,,,,,,9,,,,,,,,,,,,8.68,,,,,,,,,,,,34.30188679,,,,,,,,,,,,55.28,,,,,,,,,,,,14.6,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,
CHS-DCA,CHS,DCA,57,5,0,52,16,16,16,16,0,21.375,15.94230769,19.9375,22.5625,0,0,,,57,,,,,,,,,,,,5,,,,,,,,,,,,21.375,,,,,,,,,,,,15.94230769,,,,,,,,,,,,19.9375,,,,,,,,,,,,22.5625,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
CHS-IAD,CHS,IAD,4,0,0,4,3,3,3,3,0,2.666666667,31.25,30.66666667,4,0,0,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,,2.666666667,,,,,,,,,,,,31.25,,,,,,,,,,,,30.66666667,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
CLE-DCA,CLE,DCA,120,3,0,117,10,10,10,10,0,3.1,-8.273504274,6.5,20.5,0,0,,,,,120,,,,,,,,,,,,3,,,,,,,,,,,,3.1,,,,,,,,,,,,-8.273504274,,,,,,,,,,,,6.5,,,,,,,,,,,,20.5,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
CLE-IAD,CLE,IAD,86,2,0,84,11,11,11,11,0,8.272727273,1.642857143,25,12.90909091,0,0,,,,,86,,,,,,,,,,,,2,,,,,,,,,,,,8.272727273,,,,,,,,,,,,1.642857143,,,,,,,,,,,,25,,,,,,,,,,,,12.90909091,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
CLT-DCA,CLT,DCA,229,2,0,227,40,40,40,40,0,23.125,2.753303965,5.55,12.8,0.125,0,,,,,,,,,,229,,,,,,,,,,,,2,,,,,,,,,,,,23.125,,,,,,,,,,,,2.753303965,,,,,,,,,,,,5.55,,,,,,,,,,,,12.8,,,,,,,,,,,,0.125,,,,,,,,,,,,0,,
CLT-IAD,CLT,IAD,9,0,0,9,5,5,5,5,15,19.2,33.22222222,34.4,10.6,0,3,,,,,6,3,,,,,,,,,,,0,0,,,,,,,,,,,24,0,,,,,,,,,,,40.33333333,19,,,,,,,,,,,30.75,49,,,,,,,,,,,9.5,15,,,,,,,,,,,0,0,,,,,,,,,,,3.75,0,,,,,,
CLT-ORF,CLT,ORF,79,0,0,79,9,9,9,9,0,9,-0.151898734,11.88888889,6.555555556,0,0,,,,,,,,,,79,,,,,,,,,,,,0,,,,,,,,,,,,9,,,,,,,,,,,,-0.151898734,,,,,,,,,,,,11.88888889,,,,,,,,,,,,6.555555556,,,,,,,,,,,,0,,,,,,,,,,,,0,,
CLT-RIC,CLT,RIC,110,1,0,109,20,20,20,20,0,21.8,2.642201835,15.15,5.65,0.2,0,,,,,,,,,,110,,,,,,,,,,,,1,,,,,,,,,,,,21.8,,,,,,,,,,,,2.642201835,,,,,,,,,,,,15.15,,,,,,,,,,,,5.65,,,,,,,,,,,,0.2,,,,,,,,,,,,0,,
CMH-IAD,CMH,IAD,25,1,0,24,3,3,3,3,0,0.333333333,2.875,26.33333333,53.66666667,0,0,,,,,25,,,,,,,,,,,,1,,,,,,,,,,,,0.333333333,,,,,,,,,,,,2.875,,,,,,,,,,,,26.33333333,,,,,,,,,,,,53.66666667,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
